> Parametros
Geracoes 10000
Individuos 10
Probabilidade Mutacao 0.001
PMax 0.01
PMin -0.01
Peso cruzamento (w) 0.5


> Treinamento: 

MSE: 0.08748766677181628
Taxa Acerto: 76.84210526315789


target	 y
0.0	0.1024641929209602
1.0	0.7373573971920516
0.0	0.16556372992856633
0.0	0.4719336811563075
0.0	0.1931797848061506
1.0	0.2531582897755497
0.0	0.13774482432006105
0.0	0.6003649522198697
0.0	0.425543027786741
1.0	0.3408062052580768
1.0	0.3164271207495518
0.0	0.5922649743714139
1.0	0.5893616428366207
1.0	0.351593952460467
0.0	0.11981346660146203
0.0	0.243531898941041
0.0	0.22121357887180348
1.0	0.5911513507989978
1.0	0.4112108856034959
0.0	0.3419198287668178
0.0	0.20142925741203072
0.0	0.18423937791046635
0.0	0.1773063798643597
0.0	0.16853031749859254
0.0	0.12589613617882706
1.0	0.6427259387580112
0.0	0.17371425202436425
1.0	0.3487429077289723
0.0	0.30081701112203796
0.0	0.25501125383683504
0.0	0.08315805463822279
0.0	0.44278840124640406
1.0	0.262048152423892
0.0	0.48732609055468534
1.0	0.236444456106642
0.0	0.6291303247609326
0.0	0.09796624233401297
0.0	0.037458335558460495
0.0	0.18942117477174775
0.0	0.25284445080831996
1.0	0.6835605119263131
0.0	0.1719146442566873
0.0	0.3697408723599249
0.0	0.16895300671752927
0.0	0.1024641929209602
0.0	0.3136732845665723
0.0	0.37132559200840737
0.0	0.17365875806626563
1.0	0.5530734261342196
1.0	0.6472267010711131
0.0	0.301452451133632
0.0	0.12483800694829633
1.0	0.5734348816012216
0.0	0.24866528921947068
0.0	0.2148121202963405
0.0	0.3812686341765238
0.0	0.300607072375647
0.0	0.20492457247010948
0.0	0.29558467033352614
1.0	0.653990404812871
1.0	0.6971027696934584
0.0	0.16435115590974325
0.0	0.49456797785726503
0.0	0.23861339679964733
0.0	0.31536404176243077
1.0	0.44939766058365616
1.0	0.4378144051469117
0.0	0.2406257553599816
1.0	0.3080666598436876
0.0	0.34720552578526265
1.0	0.5397944634707487
1.0	0.2830450479024879
1.0	0.6902807595635491
0.0	0.3026699751833233
1.0	0.5134542386472205
1.0	0.3985673629516189
0.0	0.20174804641012872
0.0	0.18614288621909364
1.0	0.25115088124608365
0.0	0.49689417604289376
0.0	0.20158865191107972
0.0	0.4936720551720497
1.0	0.4023210236132183
1.0	0.4717181189754486
0.0	0.3117142822998463
0.0	0.2689762007592421
1.0	0.25622877756641477
0.0	0.36904993872818537
0.0	0.27061641402787007
0.0	0.31785244517724537
0.0	0.09426419541006542
0.0	0.3048367782118383
